station_code,station_name,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_source_used,vn_aqi_source_used,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,backup_station_code,snapshot_time_utc
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 10:00,18.50,37,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 11:00,20.50,41,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 12:00,21.50,43,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 13:00,18.50,37,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 14:00,19.50,39,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 15:00,22.00,44,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 16:00,24.00,48,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 17:00,23.00,46,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 18:00,21.50,43,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 19:00,17.00,34,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 20:00,16.00,32,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 21:00,17.50,35,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 22:00,21.00,42,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-09 23:00,25.00,50,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 00:00,26.50,53,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 01:00,25.00,50,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 02:00,22.00,44,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 03:00,22.50,45,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 04:00,25.00,50,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2026-06-10 05:00,30.50,61,cem,cem,estimated_from_cem_vn_aqi,reported,inverse_vn_aqi_nowcast_breakpoints,reported_hourly_pm25_aqi_nowcast,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
