source_slug,station_code,station_name,station_index,observation_hour_local,pm25_ugm3,vn_aqi_pm25,pm25_status,vn_aqi_status,pm25_method,vn_aqi_method,raw_sample_count,raw_time_resolution_minutes,backup_station_code,snapshot_time_utc
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 21:00,29.85,43,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 22:00,44.12,53,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-13 23:00,56.76,73,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 00:00,57.99,31,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 01:00,56.10,107,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 02:00,56.75,108,observed,reported,hourly_mean,reported_hourly_pm25_aqi,13,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 03:00,46.09,109,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 04:00,35.77,99,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 05:00,33.12,84,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 06:00,38.98,76,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 07:00,37.14,77,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 08:00,35.46,75,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 09:00,25.18,72,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 10:00,11.55,59,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 11:00,6.30,39,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 12:00,16.77,27,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 13:00,17.40,31,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 14:00,12.48,32,observed,reported,hourly_mean,reported_hourly_pm25_aqi,11,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390903576425084107499649578,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK ,49,2026-06-14 15:00,5.25,27,observed,reported,hourly_mean,reported_hourly_pm25_aqi,9,5,31390903576425084107499649578,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 00:00,24.42,53,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 01:00,18.75,50,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 02:00,22.13,44,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 03:00,27.67,44,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 04:00,35.08,50,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 05:00,37.96,60,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 06:00,31.82,68,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 07:00,24.89,65,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
moitruongthudo,31390908889087377344742439468,Công viên Nhân Chính - Khuất Duy Tiến,48,2026-06-14 08:00,25.18,57,observed,reported,hourly_mean,reported_hourly_pm25_aqi,12,5,31390908889087377344742439468,2026-06-14T08:40:38.407831+00:00
