day,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,min_r,low_pair_count,low_pairs,flagged,abnormal_low_r
2020-02-24,24,0.9933519037558926,0.8390421526976513,0.8277498433748742,0.8277498433748742,0,,False,False
2020-02-25,24,0.9808573861085159,0.9551016273065884,0.9561286888675107,0.9551016273065884,0,,False,False
2020-02-27,18,0.9923459346897866,0.8568841916262402,0.8548704382416267,0.8548704382416267,0,,False,False
2020-02-28,24,0.9821388170466631,0.7761866892176942,0.8312458878013194,0.7761866892176942,0,,False,False
2020-03-12,24,0.9222318378519739,0.9291518128560532,0.8952740581046851,0.8952740581046851,0,,False,False
2020-03-13,24,0.957299499626762,0.9604300855803332,0.9543601393895746,0.9543601393895746,0,,False,False
2020-03-14,24,0.8621676173724979,0.8162362860933476,0.8727369225782606,0.8162362860933476,0,,False,False
2020-03-15,24,0.995504153011543,0.9428984875790267,0.9583855391863468,0.9428984875790267,0,,False,False
2020-03-16,24,0.8268154983488717,0.7369548294007853,0.9433482482060557,0.7369548294007853,0,,False,False
2020-03-17,24,0.9819161170649084,0.921229060895706,0.8984396958986902,0.8984396958986902,0,,False,False
2020-03-18,24,0.9856341506002284,0.9360882189700455,0.9301841502131937,0.9301841502131937,0,,False,False
2020-03-19,24,0.9977082443747456,0.9801652275514714,0.9879896055206573,0.9801652275514714,0,,False,False
2020-03-20,24,0.9814640587568128,0.8181762085423587,0.7689798561430098,0.7689798561430098,0,,False,False
2020-03-21,24,0.9607426771988375,0.6563001651148765,0.7148040583399012,0.6563001651148765,0,,False,False
2020-03-22,24,0.9731089775179057,0.6823636708062918,0.7172238709099336,0.6823636708062918,0,,False,False
2020-03-23,24,0.9798819362611413,0.9618133111879964,0.9316032822674508,0.9316032822674508,0,,False,False
2020-03-24,24,0.9928920158125674,0.9406202958009082,0.9327506274155162,0.9327506274155162,0,,False,False
2020-03-25,24,0.9611852205705048,0.9198088586181805,0.8825124338184314,0.8825124338184314,0,,False,False
2020-03-26,24,0.9785604198098821,0.7271039230872037,0.8448637883836225,0.7271039230872037,0,,False,False
2020-03-27,24,0.9107576740928058,0.4235094908169812,0.44351754130358095,0.4235094908169812,1,r_dc1700_airvisual,False,False
2020-03-28,24,0.9671326660337776,0.9462807484461622,0.9703593369946073,0.9462807484461622,0,,False,False
2020-03-29,24,0.9931564171818658,0.9332249255320931,0.9321362111690449,0.9321362111690449,0,,False,False
2020-03-30,24,0.9766029762263118,0.9621513687700167,0.9497417596512705,0.9497417596512705,0,,False,False
2020-03-31,24,0.9836803002633032,0.9603420059336989,0.943084403802097,0.943084403802097,0,,False,False
2020-04-01,24,0.9979711812472173,0.8626380638511514,0.8636403885658304,0.8626380638511514,0,,False,False
2020-04-02,24,0.9823823836689323,0.6431237954753527,0.6205473861626285,0.6205473861626285,0,,False,False
2020-04-03,22,0.9950904930343232,0.938036787815199,0.9378763261794593,0.9378763261794593,0,,False,False
2020-04-06,18,0.9946857308463413,0.8378063877705705,0.870460024082384,0.8378063877705705,0,,False,False
2020-04-07,24,0.8934724913450528,0.7582645919109939,0.7185725943408231,0.7185725943408231,0,,False,False
2020-04-08,24,0.9738001392886598,0.8358293396117052,0.8708356088015454,0.8358293396117052,0,,False,False
2020-04-09,24,0.8836501751007012,0.8076725326604802,0.9604379944695218,0.8076725326604802,0,,False,False
2020-04-10,24,0.8919247510250096,0.7293188989021839,0.8131830597728075,0.7293188989021839,0,,False,False
2020-04-11,24,0.9149701433738816,0.6230459921044571,0.7529986298143185,0.6230459921044571,0,,False,False
2020-04-12,24,0.9928723123338861,0.9321386825810021,0.9233420329608654,0.9233420329608654,0,,False,False
2020-04-13,24,0.9591198126808109,0.9080124365520248,0.9648921127494651,0.9080124365520248,0,,False,False
2020-04-14,24,0.9266901417270258,0.7632726961197105,0.8594246978988929,0.7632726961197105,0,,False,False
2020-04-15,24,0.9712259993552184,0.9077065286318808,0.8716560419388087,0.8716560419388087,0,,False,False
2020-04-16,24,0.924107298096145,0.8695521236981143,0.6760223471464216,0.6760223471464216,0,,False,False
2020-04-17,24,0.9839578749359728,0.8745920359454997,0.855958642737362,0.855958642737362,0,,False,False
2020-04-18,24,0.9336096707169163,0.8292040388485932,0.8648797847252262,0.8292040388485932,0,,False,False
2020-04-19,24,0.9832750796228172,0.9580413152550356,0.9494750396645605,0.9494750396645605,0,,False,False
